film,total_tickets,total_customers,tickets_per_customer,total_revenue,avg_ticket_price,revenue_per_ticket,seat_distribution
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),922,123,7.5,42795000.0,46415.4,46415.4,"Single: 893, Double: 29"
(PĐ) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),49,4,12.25,2205000.0,45000.0,45000.0,"Single: 49, Double: 0"
ALADDIN (LT) (G),1224,229,5.34,56835000.0,46433.82,46433.82,"Single: 1185, Double: 39"
ALADDIN (PD) (G),1268,306,4.14,59130000.0,46632.49,46632.49,"Single: 1222, Double: 46"
AVENGERS: HỒI KẾT,7309,1442,5.07,360910000.0,49378.85,49378.85,"Single: 7080, Double: 229"
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),1457,296,4.92,66600000.0,45710.36,45710.36,"Single: 1434, Double: 23"
CORGI: NHỮNG CHÚ CHÓ HOÀNG GIA (LT),4,1,4.0,180000.0,45000.0,45000.0,"Single: 4, Double: 0"
CÀ CHỚN ANH ĐỪNG ĐI,117,15,7.8,5265000.0,45000.0,45000.0,"Single: 117, Double: 0"
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),3113,710,4.38,144270000.0,46344.36,46344.36,"Single: 3020, Double: 93"
LẬT MẶT: NHÀ CÓ KHÁCH,613,134,4.57,29790000.0,48597.06,48597.06,"Single: 564, Double: 49"
MẸ MA THAN KHÓC LA LLORONA (C18),9628,1452,6.63,454860000.0,47243.46,47243.46,"Single: 9242, Double: 386"
NGÔI ĐỀN KỲ QUÁI (C18),3777,647,5.84,176580000.0,46751.39,46751.39,"Single: 3629, Double: 148"
NỤ HÔN MA QUÁI (C18),175,38,4.61,8685000.0,49628.57,49628.57,"Single: 157, Double: 18"
POKÉMON: THÁM TỬ PIKACHU (C13),2832,583,4.86,133920000.0,47288.14,47288.14,"Single: 2688, Double: 144"
QUÝ CÔ LỪA ĐẢO,252,64,3.94,11700000.0,46428.57,46428.57,"Single: 244, Double: 8"
THẰNG EM LÝ TƯỞNG,704,170,4.14,34020000.0,48323.86,48323.86,"Single: 652, Double: 52"
VÔ GIAN ĐẠO (C18),429,75,5.72,20790000.0,48461.54,48461.54,"Single: 396, Double: 33"
VỢ BA,502,133,3.77,25065000.0,49930.28,49930.28,"Single: 447, Double: 55"
ƯỚC HẸN MÙA THU,1003,181,5.54,47565000.0,47422.73,47422.73,"Single: 949, Double: 54"
