Date,Ticket_Sales,Revenue
2019-05-01,827,223070000.0
2019-05-02,1284,161370000.0
2019-05-03,154,15615000.0
2019-05-05,1906,265200000.0
2019-05-06,1221,162675000.0
2019-05-07,1083,153765000.0
2019-05-08,1114,180585000.0
2019-05-09,1397,217470000.0
2019-05-10,1469,240345000.0
2019-05-11,2094,435375000.0
2019-05-12,2069,307575000.0
2019-05-13,931,131850000.0
2019-05-14,922,122265000.0
2019-05-15,988,196560000.0
2019-05-16,1180,202230000.0
2019-05-17,1046,163800000.0
2019-05-18,1336,209880000.0
2019-05-19,1430,208935000.0
2019-05-20,937,158085000.0
2019-05-21,854,204750000.0
2019-05-22,653,125145000.0
2019-05-23,1013,203310000.0
2019-05-24,1229,198585000.0
2019-05-25,1504,231750000.0
2019-05-26,1585,303705000.0
2019-05-27,943,135045000.0
2019-05-28,909,125775000.0
2019-05-29,695,93645000.0
2019-05-30,1135,156870000.0
2019-05-31,1566,227520000.0
