Film,Total_Tickets,Total_Customers,Tickets_Per_Customer,Total_Revenue,Avg_Ticket_Price,Revenue_Per_Ticket,Seat_Distribution
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),922,123,7.495934959349594,143235000.0,46415.40130151844,155352.4945770065,"{'ĐƠN': 893, 'ĐÔI': 29}"
(PĐ) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),49,4,12.25,9315000.0,45000.0,190102.04081632654,{'ĐƠN': 49}
ALADDIN (LT) (G),1224,229,5.344978165938865,209565000.0,46433.82352941176,171213.23529411765,"{'ĐƠN': 1185, 'ĐÔI': 39}"
ALADDIN (PD) (G),1268,306,4.143790849673203,152640000.0,46632.492113564665,120378.54889589906,"{'ĐƠN': 1222, 'ĐÔI': 46}"
AVENGERS: HỒI KẾT,7309,1442,5.068654646324549,1113635000.0,49378.847995621836,152364.89259816665,"{'ĐƠN': 7080, 'ĐÔI': 229}"
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),1457,296,4.922297297297297,200880000.0,45710.36376115306,137872.3404255319,"{'ĐƠN': 1434, 'ĐÔI': 23}"
CORGI: NHỮNG CHÚ CHÓ HOÀNG GIA (LT),4,1,4.0,720000.0,45000.0,180000.0,{'ĐƠN': 4}
CÀ CHỚN ANH ĐỪNG ĐI,117,15,7.8,16785000.0,45000.0,143461.53846153847,{'ĐƠN': 117}
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),3113,710,4.384507042253521,498285000.0,46344.36235142949,160065.85287504015,"{'ĐƠN': 3020, 'ĐÔI': 93}"
LẬT MẶT: NHÀ CÓ KHÁCH,613,134,4.574626865671642,95265000.0,48597.063621533445,155407.83034257748,"{'ĐƠN': 564, 'ĐÔI': 49}"
MẸ MA THAN KHÓC LA LLORONA (C18),9628,1452,6.630853994490358,1795035000.0,47243.456584960535,186439.0319900291,"{'ĐƠN': 9242, 'ĐÔI': 386}"
NGÔI ĐỀN KỲ QUÁI (C18),3777,647,5.837712519319938,642825000.0,46751.389992057186,170194.59888800635,"{'ĐƠN': 3629, 'ĐÔI': 148}"
NỤ HÔN MA QUÁI (C18),175,38,4.605263157894737,22725000.0,49628.57142857143,129857.14285714286,"{'ĐƠN': 157, 'ĐÔI': 18}"
POKÉMON: THÁM TỬ PIKACHU (C13),2832,583,4.8576329331046315,391905000.0,47288.13559322034,138384.5338983051,"{'ĐƠN': 2688, 'ĐÔI': 144}"
QUÝ CÔ LỪA ĐẢO,252,64,3.9375,62550000.0,46428.57142857143,248214.2857142857,"{'ĐƠN': 244, 'ĐÔI': 8}"
THẰNG EM LÝ TƯỞNG,704,170,4.141176470588236,113220000.0,48323.86363636364,160823.86363636365,"{'ĐƠN': 652, 'ĐÔI': 52}"
VÔ GIAN ĐẠO (C18),429,75,5.72,60120000.0,48461.53846153846,140139.86013986013,"{'ĐƠN': 396, 'ĐÔI': 33}"
VỢ BA,502,133,3.774436090225564,58635000.0,49930.278884462154,116802.78884462151,"{'ĐƠN': 447, 'ĐÔI': 55}"
ƯỚC HẸN MÙA THU,1003,181,5.541436464088398,170865000.0,47422.73180458624,170353.93818544367,"{'ĐƠN': 949, 'ĐÔI': 54}"
