Film,Count
MẸ MA THAN KHÓC LA LLORONA (C18),9628
AVENGERS: HỒI KẾT,7309
NGÔI ĐỀN KỲ QUÁI (C18),3777
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),3113
POKÉMON: THÁM TỬ PIKACHU (C13),2832
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),1457
ALADDIN (PD) (G),1268
ALADDIN (LT) (G),1224
ƯỚC HẸN MÙA THU,1003
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),922
THẰNG EM LÝ TƯỞNG,704
LẬT MẶT: NHÀ CÓ KHÁCH,613
VỢ BA,502
VÔ GIAN ĐẠO (C18),429
QUÝ CÔ LỪA ĐẢO,252
NỤ HÔN MA QUÁI (C18),175
CÀ CHỚN ANH ĐỪNG ĐI,117
(PĐ) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),49
CORGI: NHỮNG CHÚ CHÓ HOÀNG GIA (LT),4
