film,slot_type,orderid,customerid,total
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),ĐÔI,29,16,4050000.0
(LT) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),ĐƠN,893,111,139185000.0
(PĐ) DORAEMON: NOBITA VÀ MẶT TRĂNG PHIÊU LƯU KÝ (G),ĐƠN,49,4,9315000.0
ALADDIN (LT) (G),ĐÔI,39,28,3510000.0
ALADDIN (LT) (G),ĐƠN,1185,205,206055000.0
ALADDIN (PD) (G),ĐÔI,46,31,4860000.0
ALADDIN (PD) (G),ĐƠN,1222,277,147780000.0
AVENGERS: HỒI KẾT,ĐÔI,229,123,24360000.0
AVENGERS: HỒI KẾT,ĐƠN,7080,1353,1089275000.0
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),ĐÔI,23,18,2070000.0
CHÚA TỂ GODZILLA: ĐẾ VƯƠNG BẤT TỬ (C13),ĐƠN,1434,284,198810000.0
CORGI: NHỮNG CHÚ CHÓ HOÀNG GIA (LT),ĐƠN,4,1,720000.0
CÀ CHỚN ANH ĐỪNG ĐI,ĐƠN,117,15,16785000.0
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐÔI,93,64,8370000.0
JOHN WICK 3: CHUẨN BỊ CHIẾN TRANH (C18),ĐƠN,3020,652,489915000.0
LẬT MẶT: NHÀ CÓ KHÁCH,ĐÔI,49,29,6885000.0
LẬT MẶT: NHÀ CÓ KHÁCH,ĐƠN,564,111,88380000.0
MẸ MA THAN KHÓC LA LLORONA (C18),ĐÔI,386,183,41055000.0
MẸ MA THAN KHÓC LA LLORONA (C18),ĐƠN,9242,1307,1753980000.0
NGÔI ĐỀN KỲ QUÁI (C18),ĐÔI,148,72,14805000.0
NGÔI ĐỀN KỲ QUÁI (C18),ĐƠN,3629,586,628020000.0
NỤ HÔN MA QUÁI (C18),ĐÔI,18,9,1800000.0
NỤ HÔN MA QUÁI (C18),ĐƠN,157,32,20925000.0
POKÉMON: THÁM TỬ PIKACHU (C13),ĐÔI,144,96,14265000.0
POKÉMON: THÁM TỬ PIKACHU (C13),ĐƠN,2688,504,377640000.0
QUÝ CÔ LỪA ĐẢO,ĐÔI,8,6,900000.0
QUÝ CÔ LỪA ĐẢO,ĐƠN,244,61,61650000.0
THẰNG EM LÝ TƯỞNG,ĐÔI,52,33,4950000.0
THẰNG EM LÝ TƯỞNG,ĐƠN,652,141,108270000.0
VÔ GIAN ĐẠO (C18),ĐÔI,33,16,3960000.0
VÔ GIAN ĐẠO (C18),ĐƠN,396,64,56160000.0
VỢ BA,ĐÔI,55,30,5490000.0
VỢ BA,ĐƠN,447,107,53145000.0
ƯỚC HẸN MÙA THU,ĐÔI,54,29,5040000.0
ƯỚC HẸN MÙA THU,ĐƠN,949,161,165825000.0
